Bank;CardCompany;CloseDate;ExpirationDate;TotalARS;TotalUSD;CardNumber;CardOwner;CardTotalARS;CardTotalUSD;MovementType;OriginalDate;ReceiptNumber;Detail;CurrentInstallment;TotalInstallments;AmountARS;AmountUSD
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-09;RCPT_000030;OAK CAFE;;;7.400,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-15;RCPT_000031;MINI STOP;;;3.800,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-14;RCPT_000032;CORNER SNACKS;;;8.400,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-19;RCPT_000033;PIXEL BAZAAR;;;42.700,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-13;RCPT_000034;PAGE TURNER;;;8.300,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-09;RCPT_000035;NORTH STITCH;;;80.000,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-17;RCPT_000036;RIVER CINEMA;;;25.600,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-12;RCPT_000037;TABLE AND TILE;;;29.400,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-04;RCPT_000038;BRIGHT CELL MOBILE;;;18.400,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-04;RCPT_000039;FIT APP PRO;;;6.900,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-07;RCPT_000040;CLOUD MUSIC;;;7.600,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-07;RCPT_000041;NORTH GROCER;;;36.500,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-05;RCPT_000042;NORTH GROCER;;;90.700,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-16;RCPT_000043;BARRIO FOODS;;;89.900,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-18;RCPT_000044;RIVER MARKET;;;49.500,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-08;RCPT_000045;GREEN CART;;;37.000,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-21;RCPT_000046;URBAN WRAPS;;;10.000,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-11;RCPT_000047;CLOUD PIZZA;;;21.900,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-01;RCPT_000048;LATE TACO;;;15.300,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-10;RCPT_000049;BLUE MUG;;;9.600,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-14;RCPT_000050;MORNING CUP;;;11.400,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-05;RCPT_000051;BLUE MUG;;;9.000,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-14;RCPT_000052;CORNER SNACKS;;;3.600,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-01;RCPT_000053;CORNER SNACKS;;;3.200,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-18;RCPT_000054;RIVER CINEMA;;;12.600,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-21;RCPT_000055;WARM LIGHTS;;;54.100,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-15;RCPT_000056;FUEL POINT NORTH;;;35.300,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;536.700,00;0,00;CardMovement;2025-03-20;RCPT_000057;STUDIO CORE;;;47.100,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;;;;;PastPayment;;;PREVIOUS TOTAL BALANCE;;;347.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;;;;;PastPayment;2025-04-12;;PREVIOUS TOTAL PAYMENT;;;-347.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-20;RCPT_000058;GREEN CART;;;49.500,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-17;RCPT_000059;GREEN CART;;;88.000,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-16;RCPT_000060;URBAN WRAPS;;;27.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-06;RCPT_000061;URBAN WRAPS;;;26.500,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-13;RCPT_000062;CLOUD PIZZA;;;22.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-03;RCPT_000063;BLUE MUG;;;4.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-21;RCPT_000064;MORNING CUP;;;7.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-09;RCPT_000065;CORNER SNACKS;;;8.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-03;RCPT_000066;HARBOR PHARMACY;;;24.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-16;RCPT_000067;PIXEL BAZAAR;;;38.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-18;RCPT_000068;PAPER CLOUD;;;33.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-23;RCPT_000069;URBAN THREADS;;;51.000,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;415.300,00;0,00;CardMovement;2025-04-15;RCPT_000070;CITY POWER CO;;;33.200,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;;;;;PastPayment;;;PREVIOUS TOTAL BALANCE;;;455.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;;;;;PastPayment;2025-04-12;;PREVIOUS TOTAL PAYMENT;;;-455.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-10;RCPT_000071;GREEN CART;;;27.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-06;RCPT_000072;NORTH GROCER;;;47.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-01;RCPT_000073;RIVER MARKET;;;40.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-02;RCPT_000074;LATE TACO;;;23.700,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-02;RCPT_000075;CLOUD PIZZA;;;24.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-03;RCPT_000076;OAK CAFE;;;8.400,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-25;RCPT_000077;OAK CAFE;;;5.000,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-06;RCPT_000078;CORNER SNACKS;;;3.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-23;RCPT_000079;CORNER SNACKS;;;8.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-06;RCPT_000080;CARE CLINIC;;;58.500,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-09;RCPT_000081;PAPER CLOUD;;;46.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-02;RCPT_000082;NORTH STITCH;;;48.900,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-25;RCPT_000083;PLAYHALL;;;15.300,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-15;RCPT_000084;HOME BASICS;;;41.700,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-21;RCPT_000085;FUEL POINT NORTH;;;43.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-09;RCPT_000086;RUTA SERVICE;;;30.600,00;0,00
Santander;AMEX;2025-04-26;2025-05-04;932.400,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;517.100,00;0,00;CardMovement;2025-04-22;RCPT_000087;CITY POWER CO;;;43.400,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;;;;;PastPayment;;;PREVIOUS TOTAL BALANCE;;;408.900,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;;;;;PastPayment;2025-04-08;;PREVIOUS TOTAL PAYMENT;;;-408.900,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-06;RCPT_000088;BARRIO FOODS;;;91.900,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-08;RCPT_000089;BARRIO FOODS;;;55.800,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-11;RCPT_000090;RIVER MARKET;;;94.600,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-06;RCPT_000091;SUNSET NOODLES;;;21.900,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-11;RCPT_000092;GARDEN BOWL;;;20.600,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-15;RCPT_000093;CLOUD PIZZA;;;6.400,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-14;RCPT_000094;MORNING CUP;;;9.500,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-02;RCPT_000095;CITY KIOSK;;;4.800,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-01;RCPT_000096;CITY KIOSK;;;8.800,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-03;RCPT_000097;MEDIPLUS;;;10.000,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-06;RCPT_000098;PAPER CLOUD;;;43.400,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-07;RCPT_000099;HOME CLICK;;;19.200,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-14;RCPT_000100;LITTLE BOOK NOOK;;;25.400,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-08;RCPT_000101;ATELIER NINE;;;67.800,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-17;RCPT_000102;BRIGHT CELL MOBILE;;;18.300,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-10;RCPT_000103;CLOUD MUSIC;;;11.700,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;520.200,00;0,00;CardMovement;2025-04-16;RCPT_000104;FIT APP PRO;;;10.100,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;;;;;PastPayment;;;PREVIOUS TOTAL BALANCE;;;536.700,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;;;;;PastPayment;2025-04-08;;PREVIOUS TOTAL PAYMENT;;;-536.700,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-14;RCPT_000105;RIVER MARKET;;;77.300,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-13;RCPT_000106;NORTH GROCER;;;26.200,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-20;RCPT_000107;GREEN CART;;;58.000,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-11;RCPT_000108;NORTH GROCER;;;26.100,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-08;RCPT_000109;URBAN WRAPS;;;15.600,00;0,00
Visa Prisma;VISA;2025-04-22;2025-05-02;1.241.150,00;0,00;VISA-PRISMA-2002;BETA_HOUSEHOLD_RAW;720.950,00;0,00;CardMovement;2025-04-07;RCPT_000110;GARDEN BOWL;;;9.100,00;0,00
